title,make,model,year,condition,transmission,price
Toyota Corolla Sedan Automatic 2004 Black,Toyota,Corolla Sedan,2004,local used,automatic,"₦ 4,300,000"
Toyota Camry 2010 Silver,Toyota,Camry,2010,local used,automatic,"₦ 6,800,000"
Mercedes-Benz CLS 2013 White,Mercedes-Benz,CLS,2013,local used,automatic,"₦ 16,000,000"
Chevrolet Camaro Coupe 1LT 2013 White,Chevrolet,Camaro Coupe,2013,local used,automatic,"₦ 17,500,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2015 Black,Toyota,Avalon XLE,2015,foreign used,automatic,"₦ 16,500,000"
BMW 535i 2012 Black,BMW,535i,2012,local used,automatic,"₦ 6,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2004 Blue,Toyota,Camry LE,2004,local used,automatic,"₦ 4,900,000"
Mercedes-Benz CLS 550 2012 White,Mercedes-Benz,CLS 550,2012,local used,automatic,"₦ 22,000,000"
Lexus GX 460 Luxury 2016 Black,Lexus,GX 460,2016,foreign used,automatic,"₦ 53,000,000"
Mercedes-Benz M Class 2013 Black,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 25,000,000"
Toyota Venza 2010 Silver,Toyota,Venza,2010,local used,automatic,"₦ 12,656,250"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Green,Toyota,Camry LE,2007,local used,automatic,"₦ 5,700,000"
Toyota Corolla Verso 2006 Silver,Toyota,Corolla Verso,2006,foreign used,automatic,"₦ 11,000,000"
Mercedes-Benz M Class ML 350 4Matic 2013 White,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 14,800,000"
Lexus IS 250 AWD 2006 Silver,Lexus,IS 250,2006,local used,automatic,"₦ 7,087,500"
Lexus RX 2017 Gray,Lexus,RX,2017,local used,automatic,"₦ 35,437,500"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 15,060,937"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 Gray,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 21,000,000"
Lexus ES 2014 Black,Lexus,ES,2014,local used,automatic,"₦ 12,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,local used,automatic,"₦ 10,500,000"
